Title,A,a,L_base,r2
N-Width vs Loss,51.120931473104605,0.4996066402541184,0.2366872426984081,0.9951657594926968
N-Depth vs Loss,106505045.69140711,1.7450951628949545,0.2939159517935403,0.9964672906237726
D vs Loss,8.53961896145369,0.2235417515315491,-0.4265654848234568,0.9991062212414108
C (N-scaling) vs Loss,2844609.982905708,0.5171566505174248,0.2383314538899608,0.9950286324212512
C (D-scaling) vs Loss,3763.0503987443544,0.26084446535682737,-0.29857166976457794,0.9989208180180228
