epoch,train_loss,train_acc,test_loss,test_acc
1,2.103153500289917,0.18172,,
2,1.9224731649398803,0.24872,,
3,1.8673413870620728,0.27156,,
4,1.8529383730697633,0.27858,,
5,1.843092305984497,0.28786,1.9633717964172364,0.2781
6,1.8366628079986573,0.29076,,
